2theta in degrees,after debinding and sintering,normalized
28.06,317.284,13.93773
28.08,317.314,13.93905
28.1,280.975,12.34274
28.12,296.578,13.02815
28.14,297.085,13.05043
28.16,306.189,13.45035
28.18,289.576,12.72057
28.2,322.145,14.15127
28.22,282.405,12.40556
28.24,301.976,13.26528
28.26,308.201,13.53873
28.28,285.114,12.52456
28.3,281.69,12.37415
28.32,313.647,13.77797
28.34,280.995,12.34362
28.36,301.2,13.23119
28.38,288.505,12.67352
28.4,265.002,11.64108
28.42,288.147,12.6578
28.44,246.258,10.81768
28.46,266.36,11.70073
28.48,258.923,11.37404
28.5,259.204,11.38638
28.52,256.533,11.26905
28.54,255.621,11.22899
28.56,248.746,10.92698
28.58,283.529,12.45494
28.6,261.215,11.47472
28.62,280.036,12.30149
28.64,285.364,12.53554
28.66,275.384,12.09714
28.68,264.599,11.62337
28.7,290.284,12.75167
28.72,283.276,12.44382
28.74,279.045,12.25796
28.76,261.429,11.48412
28.78,219.856,9.65789
28.8,232.143,10.19764
28.82,254.576,11.18308
28.84,266.469,11.70552
28.86,265.328,11.6554
28.88,248.79,10.92891
28.9,236.505,10.38925
28.92,219.18,9.6282
28.94,239.466,10.51932
28.96,225.472,9.90459
28.98,229.743,10.09221
29,215.463,9.46491
29.02,226.815,9.96359
29.04,247.723,10.88204
29.06,258.765,11.3671
29.08,244.257,10.72978
29.1,242.16,10.63767
29.12,252.854,11.10744
29.14,231.734,10.17967
29.16,217.865,9.57043
29.18,242.379,10.64729
29.2,225.823,9.92001
29.22,238.961,10.49714
29.24,233.988,10.27869
29.26,233.061,10.23796
29.28,246.72,10.83798
29.3,244.842,10.75548
29.32,252.399,11.08745
29.34,223.091,9.8
29.36,222.98,9.79512
29.38,198.902,8.73742
29.4,215.259,9.45595
29.42,201.853,8.86705
29.44,202.232,8.8837
29.46,210.705,9.2559
29.48,229.02,10.06045
29.5,217.188,9.54069
29.52,193.627,8.5057
29.54,220.107,9.66892
29.56,203.454,8.93738
29.58,205.977,9.04821
29.6,186.099,8.175
29.62,217.765,9.56604
29.64,223.962,9.83826
29.66,201.621,8.85686
29.68,190.124,8.35182
29.7,200.417,8.80397
29.72,200.456,8.80568
29.74,176.447,7.75101
29.76,189.788,8.33706
29.78,216.843,9.52554
29.8,194.881,8.56078
29.82,221.638,9.73617
29.84,191.26,8.40172
29.86,200.833,8.82224
29.88,199.054,8.7441
29.9,211.46,9.28907
29.92,177.389,7.79239
29.94,184.328,8.09721
29.96,180.918,7.94741
29.98,180.392,7.92431
30,201.701,8.86037
30.02,207.107,9.09785
30.04,198.791,8.73254
30.06,206.682,9.07918
30.08,189.596,8.32862
30.1,198.517,8.72051
30.12,183.836,8.0756
30.14,174.729,7.67554
30.16,182.745,8.02767
30.18,198.975,8.74063
30.2,166.497,7.31392
30.22,192.868,8.47236
30.24,192.119,8.43945
30.26,196.984,8.65316
30.28,198.193,8.70627
30.3,173.64,7.6277
30.32,178.345,7.83439
30.34,204.711,8.9926
30.36,194.177,8.52986
30.38,195.209,8.57519
30.4,167.159,7.343
30.42,187.696,8.24516
30.44,168.95,7.42168
30.46,175.493,7.7091
30.48,155.159,6.81586
30.5,170.363,7.48375
30.52,171.864,7.54969
30.54,154.05,6.76715
30.56,158.9,6.9802
30.58,159.406,7.00243
30.6,149.616,6.57237
30.62,156.692,6.88321
